dt64,id,river_km_id,datetime,water_perc,ice_perc,other_perc,cloud_perc,nd_perc,qc,source
2017-05-03 05:34:59,23117,232808,2017-05-03T05:34:59,75,23,0,0,2,low quality,Sentinel-1
2017-05-04 05:26:21,23194,232808,2017-05-04T05:26:21,84,13,0,0,3,low quality,Sentinel-1
2017-05-05 17:16:13,23271,232808,2017-05-05T17:16:13,92,5,0,0,3,low quality,Sentinel-1
2017-05-06 17:08:47,23340,232808,2017-05-06T17:08:47,78,19,0,0,3,low quality,Sentinel-1 Sentinel-2
2017-05-09 17:33:23,23390,232808,2017-05-09T17:33:23,80,17,0,0,3,low quality,Sentinel-1 Sentinel-2
2017-05-10 17:24:28,23467,232808,2017-05-10T17:24:28,81,16,0,0,3,low quality,Sentinel-1 Sentinel-2
2017-05-11 17:16:58,23544,232808,2017-05-11T17:16:58,91,7,0,0,2,low quality,Sentinel-1
2017-05-12 17:08:05,23612,232808,2017-05-12T17:08:05,78,19,0,0,3,low quality,Sentinel-1
2017-05-15 05:35:00,23661,232808,2017-05-15T05:35:00,72,26,0,0,2,low quality,Sentinel-1
2017-05-16 17:25:14,23738,232808,2017-05-16T17:25:14,78,21,0,0,1,low quality,Sentinel-1 Sentinel-2
2017-05-17 17:16:13,23815,232808,2017-05-17T17:16:13,8,72,18,0,2,high quality,Sentinel-1 Sentinel-2
2017-05-18 17:08:47,23884,232808,2017-05-18T17:08:47,55,43,0,0,2,low quality,Sentinel-1
2017-05-21 05:34:32,23934,232808,2017-05-21T05:34:32,63,35,0,0,2,low quality,Sentinel-1
2017-05-22 05:27:07,24011,232808,2017-05-22T05:27:07,58,39,0,0,3,low quality,Sentinel-1
2017-05-23 17:16:51,24088,232808,2017-05-23T17:16:51,71,26,0,0,3,low quality,Sentinel-1
2017-05-24 17:08:05,24156,232808,2017-05-24T17:08:05,57,40,0,0,3,low quality,Sentinel-1 Sentinel-2
2017-05-27 17:32:34,24205,232808,2017-05-27T17:32:34,53,8,39,0,0,high quality,Sentinel-1 Sentinel-2
2017-05-28 05:26:02,24282,232808,2017-05-28T05:26:02,66,31,0,0,3,low quality,Sentinel-1
2017-05-29 17:16:15,24359,232808,2017-05-29T17:16:15,73,26,0,0,1,low quality,Sentinel-1 Sentinel-2
2017-05-30 17:08:49,24428,232808,2017-05-30T17:08:49,55,42,0,0,3,low quality,Sentinel-1 Sentinel-2
2017-06-02 17:33:22,26815,232808,2017-06-02T17:33:22,64,35,0,0,1,low quality,Sentinel-1 Sentinel-2
2017-06-03 17:24:26,26892,232808,2017-06-03T17:24:26,68,29,0,0,3,low quality,Sentinel-1 Sentinel-2
